,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,1990,2960.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
1,1991,2740.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
2,1992,1430.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
3,1993,1360.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
4,1994,1300.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
5,1995,1250.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
6,1996,1180.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
7,1997,1100.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
8,1998,1050.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
9,1999,820.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
10,2000,770.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
11,2001,810.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
12,2002,1100.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
13,2003,1350.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
14,2004,1130.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
15,2005,1640.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
16,2006,1940.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
17,2007,2360.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
18,2008,4390.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
19,2009,6000.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
20,2010,8670.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
21,2011,12260.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
22,2012,10450.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
23,2013,8510.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
24,2014,7810.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
25,2015,7990.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
26,2016,7390.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
27,2017,7380.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
28,2018,7440.0,EN.ATM.CO2E.KT,AFG,Afghanistan,South Asia,Low income,IDA
29,1990,11520.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
30,1991,10830.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
31,1992,11820.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
32,1993,12570.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
33,1994,13540.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
34,1995,16550.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
35,1996,16820.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
36,1997,18970.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
37,1998,19250.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
38,1999,20110.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
39,2000,21650.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
40,2001,25780.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
41,2002,27430.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
42,2003,28630.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
43,2004,30530.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
44,2005,32710.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
45,2006,35900.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
46,2007,37990.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
47,2008,41580.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
48,2009,44750.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
49,2010,50580.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
50,2011,54420.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
51,2012,57990.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
52,2013,60580.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
53,2014,63800.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
54,2015,71690.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
55,2016,73740.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
56,2017,78710.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
57,2018,82760.0,EN.ATM.CO2E.KT,BGD,Bangladesh,South Asia,Lower middle income,IDA
58,1990,130.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
59,1991,170.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
60,1992,200.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
61,1993,170.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
62,1994,190.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
63,1995,230.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
64,1996,280.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
65,1997,370.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
66,1998,360.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
67,1999,360.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
68,2000,370.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
69,2001,360.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
70,2002,400.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
71,2003,360.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
72,2004,310.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
73,2005,410.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
74,2006,400.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
75,2007,390.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
76,2008,400.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
77,2009,370.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
78,2010,470.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
79,2011,670.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
80,2012,760.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
81,2013,850.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
82,2014,940.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
83,2015,960.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
84,2016,1230.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
85,2017,1330.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
86,2018,1380.0,EN.ATM.CO2E.KT,BTN,Bhutan,South Asia,Lower middle income,IDA
87,1990,419120.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
88,1991,412930.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
89,1992,426000.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
90,1993,422680.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
91,1994,438820.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
92,1995,449500.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
93,1996,463160.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
94,1997,478530.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
95,1998,486760.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
96,1999,495140.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
97,2000,515000.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
98,2001,506940.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
99,2002,525470.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
100,2003,545360.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
101,2004,537250.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
102,2005,549970.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
103,2006,541070.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
104,2007,571310.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
105,2008,550200.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
106,2009,520800.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
107,2010,535030.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
108,2011,547720.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
109,2012,547140.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
110,2013,556350.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
111,2014,561830.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
112,2015,558800.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
113,2016,550480.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
114,2017,562260.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
115,2018,574400.0,EN.ATM.CO2E.KT,CAN,Canada,North America,High income,Not classified
116,1990,562480.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
117,1991,607340.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
118,1992,630260.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
119,1993,652470.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
120,1994,687950.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
121,1995,741100.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
122,1996,776720.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
123,1997,821480.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
124,1998,839830.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
125,1999,904090.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
126,2000,940170.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
127,2001,953880.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
128,2002,987530.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
129,2003,1015890.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
130,2004,1087190.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
131,2005,1137740.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
132,2006,1214250.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
133,2007,1336100.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
134,2008,1423880.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
135,2009,1568530.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
136,2010,1665310.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
137,2011,1760800.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
138,2012,1908570.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
139,2013,1966810.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
140,2014,2136870.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
141,2015,2150220.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
142,2016,2183280.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
143,2017,2301440.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
144,2018,2434520.0,EN.ATM.CO2E.KT,IND,India,South Asia,Lower middle income,IBRD
145,1990,160.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
146,1991,160.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
147,1992,230.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
148,1993,200.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
149,1994,200.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
150,1995,260.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
151,1996,280.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
152,1997,340.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
153,1998,310.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
154,1999,430.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
155,2000,460.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
156,2001,480.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
157,2002,610.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
158,2003,530.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
159,2004,740.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
160,2005,710.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
161,2006,870.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
162,2007,870.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
163,2008,870.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
164,2009,910.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
165,2010,960.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
166,2011,1010.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
167,2012,1140.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
168,2013,1130.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
169,2014,1360.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
170,2015,1350.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
171,2016,1750.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
172,2017,1820.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
173,2018,1910.0,EN.ATM.CO2E.KT,MDV,Maldives,South Asia,Upper middle income,IDA
174,1990,940.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
175,1991,1180.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
176,1992,1230.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
177,1993,1410.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
178,1994,1740.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
179,1995,1890.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
180,1996,1960.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
181,1997,2190.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
182,1998,2320.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
183,1999,3120.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
184,2000,3220.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
185,2001,3470.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
186,2002,2790.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
187,2003,3020.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
188,2004,2810.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
189,2005,3190.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
190,2006,2620.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
191,2007,2690.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
192,2008,2990.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
193,2009,3880.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
194,2010,4640.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
195,2011,5200.0,EN.ATM.CO2E.KT,NPL,Nepal,South Asia,Lower middle income,IDA
